run,method,brier_before,brier_after,brier_improvement,mean_variance_before,mean_variance_after,delta_mean_variance,mean_conflict_before,mean_conflict_after,delta_mean_conflict,moran_i_before,moran_i_after,delta_moran_i,n_HH_before,n_HH_after,delta_n_HH,ambiguity_before,ambiguity_after,disagreement_rate_before,disagreement_rate_after,discrepancy_before,discrepancy_after,jaccard_HH_before_after,n_components_before,n_components_after,max_component_size_before,max_component_size_after,dataset
seed=7,platt,0.1570646176457523,0.15775997187948948,-0.0006953542337371776,0.0058140050951471815,0.005599223256245047,-0.00021478183890213422,0.0668,0.065,-0.001799999999999996,0.08006341749051664,0.06613804781675275,-0.013925369673763885,0,0,0,0.2645406362275924,0.23056991081771067,0.52855,0.41756666666666664,0.13549395054591698,0.11136801046355309,1.0,0,0,0,0,german
seed=8,platt,0.17899325041437097,0.17677517505049742,0.002218075363873556,0.000430365004793103,0.000455254921167066,2.4889916373962984e-05,0.006400000000000002,0.0046000000000000025,-0.0017999999999999995,0.05939418861050193,0.09091234545332227,0.03151815684282035,3,6,3,0.07879215303929867,0.07350022503162194,0.057749999999999996,0.04623333333333333,0.06979168700414247,0.0676175238297534,0.5,0,1,0,6,german
seed=9,platt,0.1604697610038921,0.16036242782057336,0.00010733318331873631,0.003913158499026887,0.0030790516490395072,-0.0008341068499873793,0.0524,0.047400000000000005,-0.0049999999999999975,0.1423420147913532,0.09414335716212736,-0.04819865762922583,6,0,-6,0.22437423466278553,0.18795601143493262,0.4659833333333333,0.36405,0.11964295558116005,0.09554748717731791,0.0,1,0,6,0,german
seed=0,isotonic,0.15138697021342895,0.14494049023370686,0.006446479979722086,0.0047298404427504655,0.008698166364066603,0.003968325921316138,0.055999999999999994,0.063,0.007000000000000006,0.11613995105838612,0.1612380056967877,0.04509805463840158,3,11,8,0.24365435544469996,0.32579152786668986,0.5054333333333333,0.5917833333333333,0.13289731823457124,0.14021704408806313,0.2727272727272727,0,1,0,11,german
seed=1,isotonic,0.1595453525683669,0.1539728914732776,0.005572461095089298,0.003995032357600239,0.0076880206354284384,0.003692988277828199,0.076,0.085,0.009000000000000008,0.037337464785456555,0.1334208129773873,0.09608334819193076,0,4,4,0.22452306434159064,0.3079901643387542,0.4949666666666667,0.5948166666666667,0.11989824105478494,0.14376713811291217,0.0,0,0,0,0,german
seed=2,isotonic,0.190700603291938,0.19108515480395968,-0.0003845515120216858,0.007885648739390506,0.00892542729446773,0.0010397785550772237,0.0816,0.09960000000000001,0.018000000000000002,0.08994892589285827,0.07633440458111701,-0.013614521311741262,3,1,-2,0.294454133928054,0.3206144444713545,0.52615,0.5433833333333333,0.17202613799875963,0.1458887635215229,0.3333333333333333,0,0,0,0,german
seed=3,isotonic,0.16446987187208378,0.16851189526046478,-0.004042023388381,0.00423051646735302,0.005572286373808482,0.0013417699064554615,0.045200000000000004,0.0546,0.009399999999999999,0.08859574497420546,0.05964160638274985,-0.028954138591455604,0,0,0,0.24168160387181645,0.2820172750644731,0.32198333333333334,0.3730833333333333,0.1586786533005279,0.16710972219280984,1.0,0,0,0,0,german
seed=4,isotonic,0.14669249151312436,0.14845962339132165,-0.0017671318781972978,0.006117686223589822,0.008650933232764904,0.0025332470091750823,0.0642,0.075,0.010800000000000004,0.1587936188120699,0.15908534729537763,0.0002917284833077183,6,9,3,0.2855485041528736,0.3202433679065104,0.5248666666666666,0.5758333333333333,0.15844602425966933,0.1496561442571581,0.07142857142857142,1,1,5,7,german
seed=5,isotonic,0.15495750901400546,0.15162535656010948,0.0033321524538959812,0.00754962722797321,0.012757726730293881,0.005208099502320671,0.07860000000000002,0.08620000000000001,0.007599999999999996,0.12297624069372903,0.1392893118407772,0.016313071147048164,3,2,-1,0.33216039129988373,0.4016866369789942,0.5918833333333333,0.6507166666666667,0.18343651311035686,0.19069533788680396,0.6666666666666666,0,0,0,0,german
seed=6,isotonic,0.18817393199047325,0.19613369280350806,-0.007959760813034816,0.005566262778973203,0.009675818402605493,0.00410955562363229,0.0656,0.0678,0.0021999999999999936,0.1459562775068242,0.11698620961879816,-0.02897006788802603,3,3,0,0.2591644182457313,0.32958793649553075,0.5195666666666667,0.5931833333333333,0.1267421970701159,0.1456725684962819,0.0,0,0,0,0,german
seed=7,isotonic,0.1570646176457523,0.158211667153099,-0.0011470495073467035,0.0058140050951471815,0.00888243627330192,0.0030684311781547383,0.0668,0.0842,0.0174,0.08006341749051664,0.06145141947523871,-0.01861199801527793,0,0,0,0.2645406362275924,0.3196463261868389,0.52855,0.5805500000000001,0.13549395054591698,0.14324658776620386,1.0,0,0,0,0,german
seed=8,isotonic,0.17899325041437097,0.18353004218550506,-0.0045367917711340855,0.000430365004793103,0.0011288338216530421,0.0006984688168599391,0.006400000000000002,0.018200000000000004,0.011800000000000001,0.05939418861050193,0.032973794950791946,-0.02642039365970998,3,0,-3,0.07879215303929867,0.11323345698344575,0.057749999999999996,0.11246666666666665,0.06979168700414247,0.08869812332529038,0.0,0,0,0,0,german
seed=9,isotonic,0.1604697610038921,0.16142550697380653,-0.0009557459699144344,0.003913158499026887,0.006164066743517349,0.002250908244490463,0.0524,0.06,0.007599999999999996,0.1423420147913532,0.13086633061744654,-0.011475684173906653,6,4,-2,0.22437423466278553,0.26192063725884435,0.4659833333333333,0.4713833333333334,0.11964295558116005,0.11585502972976398,0.42857142857142855,1,0,6,0,german
